seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,8.739853382110596
1,2,65,83,-13,0,8.531997442245483
1,3,115,85,7,2,9.031944036483765
1,4,93,107,19,1,13.095183372497559
1,5,117,83,5,1,22.039201021194458
1,6,70,82,-12,0,89.91073632240295
1,7,113,87,1,1,442.27019810676575
2,1,83,117,20,3,11.937862157821655
2,2,103,97,22,1,9.957904815673828
2,3,73,127,16,3,13.280144214630127
2,4,115,85,44,1,10.620569229125977
2,5,83,117,16,2,25.497421264648438
2,6,107,93,22,1,89.40011477470398
2,7,107,93,22,1,429.0595145225525
3,1,90,94,40,1,9.660119771957397
3,2,80,80,-10,0,8.219922065734863
3,3,108,92,38,1,9.67286491394043
3,4,106,94,10,1,11.190309762954712
3,5,110,90,40,1,19.759451866149902
3,6,108,92,38,1,73.8116614818573
3,7,110,90,40,1,363.0873794555664
4,1,-29,173,-14,3,17.60903525352478
4,2,33,159,32,2,16.241154193878174
4,3,15,185,12,4,19.229031562805176
4,4,45,155,32,2,18.072224378585815
4,5,39,161,8,3,31.978466272354126
4,6,-23,139,12,1,108.03043556213379
4,7,31,145,24,2,516.8463439941406
5,1,51,101,41,1,10.329615592956543
5,2,61,107,31,1,10.96943974494934
5,3,70,106,30,1,11.210273742675781
5,4,96,104,14,1,13.060060262680054
5,5,88,112,14,2,27.452016592025757
5,6,87,97,37,1,107.26888680458069
5,7,101,99,35,2,530.399683713913
6,1,107,93,17,1,9.527260780334473
6,2,65,111,25,1,11.359166145324707
6,3,73,103,33,1,10.801676750183105
6,4,105,95,29,2,11.587066173553467
6,5,89,111,7,2,24.39195728302002
6,6,84,100,34,1,89.69255113601685
6,7,81,119,25,2,437.8965964317322
7,1,84,116,22,3,11.839007139205933
7,2,106,94,22,1,9.662322282791138
7,3,102,98,22,3,10.399386644363403
7,4,94,106,22,2,12.911684513092041
7,5,116,84,4,1,22.306257724761963
7,6,96,104,22,1,92.92108750343323
7,7,94,106,22,2,444.30462741851807
8,1,34,162,-1,4,16.51061201095581
8,2,-26,150,37,2,15.323269367218018
8,3,34,162,-1,4,16.827069759368896
8,4,56,144,37,3,16.46382188796997
8,5,84,108,33,2,23.26521325111389
8,6,34,122,19,1,84.89191627502441
8,7,18,126,19,2,408.75878643989563
9,1,89,111,14,1,11.340890645980835
9,2,-67,119,48,1,12.197907447814941
9,3,57,135,32,3,14.162180185317993
9,4,89,111,8,1,13.897787094116211
9,5,83,117,8,2,29.000025272369385
9,6,21,127,16,1,110.30985164642334
9,7,67,133,16,2,521.0829787254333
10,1,-25,121,33,2,12.359083890914917
10,2,-17,121,33,1,12.398497581481934
10,3,85,107,23,2,11.379393339157104
10,4,19,177,-1,2,20.637702465057373
10,5,45,115,23,2,30.20071268081665
10,6,13,123,23,1,121.75001811981201
10,7,93,107,23,1,601.4807033538818
